FamilyID,InstanceZ
12001,
12001,
12001,
12001,2.1.3.2.1.2
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,2.1.3.1.1.2
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,2.2.3.2.1.2
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12019,0.0.0.0.0.0
12019,
12019,
12019,
12019,
12019,
12019,
12019,0.0.0.0.1.0
12019,
12019,
12019,
12019,0.0.0.0.1.1
12019,
12019,
12019,
12019,
12019,0.1.0.0.1.1
12019,
12019,
12019,
12019,0.1.0.1.1.1
12019,
12019,
12019,
12019,1.1.0.1.1.1
12019,
12019,
12019,
12019,
12019,1.1.1.1.1.1
12019,
12019,
12019,
12019,
12019,
12019,1.1.1.2.1.1
12019,
12019,
12019,
12019,
12019,1.1.1.2.1.2
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,1.1.1.2.2.2
12019,
12019,
12019,
12019,
12019,1.2.1.2.2.2
12019,
12019,
12019,1.2.2.2.2.2
12019,
12019,
12019,
12019,
12019,1.2.2.1.2.2
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12019,
12020,0.0.0.0.0.0
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,0.0.0.0.1.0
12020,
12020,0.0.0.0.1.1
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,0.0.1.0.1.1
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,
12020,0.0.1.1.1.1
12020,
12020,
12020,1.0.1.1.1.1
12020,
12020,
12020,
12020,
12020,
12020,1.0.2.1.1.1
12020,
12020,
12020,1.0.2.1.1.2
12020,
12020,
12020,
12020,
12020,1.0.2.2.1.2
12020,
12020,
12020,2.0.2.2.1.2
12020,
12020,2.0.2.2.1.1
12020,
12020,
12020,
12020,
12020,
12021,0.0.0.0.0.0
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,2.0.0.0.0.0
12021,
12021,
12021,2.0.1.0.0.0
12021,
12021,
12021,
12021,
12021,
12021,2.1.1.0.0.0
12021,
12021,2.2.1.0.0.0
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,2.6.2.0.0.0
12021,
12021,
12021,
12021,
12021,2.6.2.0.1.0
12021,
12021,
12021,
12021,2.6.2.0.1.1
12021,
12021,
12021,
12021,
12021,2.2.6.0.1.1
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,2.2.6.0.1.2
12021,
12021,
12021,2.2.6.0.2.2
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,
12021,2.2.6.2.2.2
12021,
12021,
12021,
12021,
12021,1.2.6.2.2.2
12021,
12021,
12021,
12021,
12021,
12021,
12021,2.1.6.2.2.2
12021,
12021,
12021,
12021,
12021,
12022,0.0.0.0.0.0
12022,
12022,
12022,
12022,
12022,
12022,
12022,0.0.0.1.0.0
12022,
12022,
12022,
12022,
12022,0.0.0.1.1.0
12022,
12022,
12022,
12022,0.0.0.1.1.1
12022,
12022,
12022,
12022,
12022,
12022,
12022,0.0.1.1.1.1
12022,
12022,
12022,0.0.1.1.1.2
12022,
12022,
12022,
12022,
12022,
12022,
12022,0.1.1.1.1.2
12022,
12022,
12022,
12022,
12022,
12022,
12022,1.1.1.1.1.2
12022,
12022,
12022,
12022,1.2.1.1.1.2
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12022,
12023,0.0.0.0.0.0
12023,
12023,
12023,0.0.1.0.0.0
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,0.1.1.0.0.0
12023,
12023,
12023,
12023,
12023,1.1.1.0.0.0
12023,
12023,
12023,
12023,
12023,1.2.1.0.0.0
12023,
12023,
12023,2.6.1.0.0.0
12023,
12023,
12023,
12023,
12023,
12023,2.6.1.0.0.1
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,2.6.1.0.0.2
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,2.6.1.1.0.2
12023,
12023,
12023,
12023,
12023,2.6.1.3.0.2
12023,
12023,
12023,
12023,
12023,2.6.1.3.2.2
12023,
12023,
12023,
12023,2.6.1.2.2.2
12023,2.6.1.1.2.2
12023,
12023,
12023,
12023,
12023,
12023,2.6.1.1.1.2
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,2.6.1.1.3.2
12023,
12023,2.6.1.1.4.2
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12023,
12025,0.0.0.0.0.0
12025,
12025,
12025,
12025,
12025,
12025,1.0.0.0.0.0
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,1.0.1.0.0.0
12025,
12025,
12025,
12025,
12025,
12025,1.0.1.0.1.0
12025,2.0.1.0.1.0
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,2.0.2.0.1.0
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
12025,
