"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"528",10,6,60,573,0.4750656167979,0.966666666666667,0.604166666666667,"U1",300
"529",9,4,36,609,0.517060367454068,0.97,0.645833333333333,"U1",300
"530",8,6,48,657,0.553805774278215,0.973333333333333,0.6875,"U1",300
"531",7,1,7,664,0.577865266841645,0.976666666666667,0.729166666666667,"U1",300
"532",6,9,54,718,0.604549431321085,0.98,0.770833333333333,"U1",300
"533",5,7,35,753,0.643482064741907,0.983333333333333,0.8125,"U1",300
"534",4,14,56,809,0.6832895888014,0.986666666666667,0.854166666666667,"U1",300
"535",3,21,63,872,0.735345581802275,0.99,0.895833333333333,"U1",300
"536",2,48,96,968,0.804899387576553,0.993333333333333,0.9375,"U1",300
"537",1,175,175,1143,0.92344706911636,0.996666666666667,0.979166666666667,"U1",300
"538",88,1,88,88,0.0284421460892049,0.706666666666667,0.0192307692307692,"U2",300
"539",54,1,54,142,0.0743374272786037,0.82,0.0576923076923077,"U2",300
"540",28,1,28,170,0.100840336134454,0.906666666666667,0.0961538461538462,"U2",300
"541",27,2,54,224,0.127343244990304,0.91,0.134615384615385,"U2",300
"542",23,2,46,270,0.159663865546218,0.923333333333333,0.173076923076923,"U2",300
"543",21,1,21,291,0.181318681318681,0.93,0.211538461538462,"U2",300
"544",20,2,40,331,0.201034259857789,0.933333333333333,0.25,"U2",300
"545",19,2,38,369,0.226244343891403,0.936666666666667,0.288461538461538,"U2",300
"546",18,1,18,387,0.244343891402715,0.94,0.326923076923077,"U2",300
"547",17,4,68,455,0.272139625080802,0.943333333333333,0.365384615384615,"U2",300
"548",16,3,48,503,0.309631544925663,0.946666666666667,0.403846153846154,"U2",300
"549",15,1,15,518,0.329993535875889,0.95,0.442307692307692,"U2",300
"550",14,1,14,532,0.339366515837104,0.953333333333333,0.480769230769231,"U2",300
"551",13,3,39,571,0.356496444731739,0.956666666666667,0.519230769230769,"U2",300
"552",12,2,24,595,0.376858435681965,0.96,0.557692307692308,"U2",300
"553",11,4,44,639,0.398836457659987,0.963333333333333,0.596153846153846,"U2",300
"554",10,5,50,689,0.429217840982547,0.966666666666667,0.634615384615385,"U2",300
"555",9,4,36,725,0.457013574660633,0.97,0.673076923076923,"U2",300
"556",8,5,40,765,0.481577246283129,0.973333333333333,0.711538461538462,"U2",300
"557",7,6,42,807,0.508080155138979,0.976666666666667,0.75,"U2",300
"558",6,7,42,849,0.535229476405947,0.98,0.788461538461538,"U2",300
"559",5,15,75,924,0.573044602456367,0.983333333333333,0.826923076923077,"U2",300
"560",4,17,68,992,0.619263089851325,0.986666666666667,0.865384615384615,"U2",300
"561",3,29,87,1079,0.669360051712993,0.99,0.903846153846154,"U2",300
"562",2,71,142,1221,0.743374272786038,0.993333333333333,0.942307692307692,"U2",300
"563",1,326,326,1547,0.894634776987718,0.996666666666667,0.980769230769231,"U2",300
"564",92,1,92,92,0.0352490421455939,0.693333333333333,0.02,"U3",300
"565",91,1,91,183,0.10536398467433,0.696666666666667,0.06,"U3",300
"566",62,1,62,245,0.163984674329502,0.793333333333333,0.1,"U3",300
"567",50,1,50,295,0.206896551724138,0.833333333333333,0.14,"U3",300
"568",33,1,33,328,0.238697318007663,0.89,0.18,"U3",300
"569",32,1,32,360,0.26360153256705,0.893333333333333,0.22,"U3",300
"570",21,1,21,381,0.283908045977011,0.93,0.26,"U3",300
"571",20,1,20,401,0.299616858237548,0.933333333333333,0.3,"U3",300
"572",19,1,19,420,0.31455938697318,0.936666666666667,0.34,"U3",300
"573",16,2,32,452,0.334099616858238,0.946666666666667,0.38,"U3",300
"574",15,3,45,497,0.36360153256705,0.95,0.42,"U3",300
"575",14,1,14,511,0.386206896551724,0.953333333333333,0.46,"U3",300
"576",13,2,26,537,0.401532567049808,0.956666666666667,0.5,"U3",300
"577",12,1,12,549,0.416091954022988,0.96,0.54,"U3",300
"578",11,5,55,604,0.44176245210728,0.963333333333333,0.58,"U3",300
"579",10,2,20,624,0.470498084291188,0.966666666666667,0.62,"U3",300
"580",9,6,54,678,0.498850574712644,0.97,0.66,"U3",300
"581",8,3,24,702,0.528735632183908,0.973333333333333,0.7,"U3",300
"582",7,6,42,744,0.554022988505747,0.976666666666667,0.74,"U3",300
"583",6,3,18,762,0.577011494252874,0.98,0.78,"U3",300
"584",5,8,40,802,0.599233716475096,0.983333333333333,0.82,"U3",300
"585",4,10,40,842,0.629885057471264,0.986666666666667,0.86,"U3",300
"586",3,29,87,929,0.678544061302682,0.99,0.9,"U3",300
"587",2,49,98,1027,0.749425287356322,0.993333333333333,0.94,"U3",300
"588",1,278,278,1305,0.893486590038314,0.996666666666667,0.98,"U3",300
"589",158,1,158,158,0.0549756437021573,0.605,0.0208333333333333,"F1",400
"590",100,1,100,258,0.144745998608212,0.75,0.0625,"F1",400
"591",42,1,42,300,0.194154488517745,0.895,0.104166666666667,"F1",400
"592",40,1,40,340,0.222686151704941,0.9,0.145833333333333,"F1",400
"593",35,1,35,375,0.248782185107864,0.9125,0.1875,"F1",400
"594",34,2,68,443,0.284620737647878,0.915,0.229166666666667,"F1",400
"595",25,2,50,493,0.325678496868476,0.9375,0.270833333333333,"F1",400
"596",19,1,19,512,0.349686847599165,0.9525,0.3125,"F1",400
"597",17,1,17,529,0.362212943632568,0.9575,0.354166666666667,"F1",400
"598",16,3,48,577,0.384829505915101,0.96,0.395833333333333,"F1",400
"599",14,2,28,605,0.411273486430063,0.965,0.4375,"F1",400
