count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
53,466,53,0.2329093799682035,0.17666666666666667,I1,300
40,506,40,0.2575516693163752,0.13333333333333333,I1,300
36,542,36,0.27768945416004237,0.12,I1,300
31,573,31,0.2954425013248543,0.10333333333333333,I1,300
30,603,30,0.31160572337042924,0.1,I1,300
29,661,58,0.3349231584525702,0.09666666666666666,I1,300
26,687,26,0.35718071012188657,0.08666666666666667,I1,300
25,712,25,0.3706942236354001,0.08333333333333333,I1,300
20,732,20,0.3826179120296767,0.06666666666666667,I1,300
19,770,38,0.3979862215156333,0.06333333333333334,I1,300
18,788,18,0.4128245892951775,0.06,I1,300
15,803,15,0.4215686274509804,0.05,I1,300
14,831,28,0.43296237413884475,0.04666666666666667,I1,300
13,883,52,0.4541600423953365,0.043333333333333335,I1,300
12,919,36,0.4774774774774775,0.04,I1,300
11,974,55,0.5015898251192369,0.03666666666666667,I1,300
10,984,10,0.5188129305776364,0.03333333333333333,I1,300
9,1029,45,0.5333863275039745,0.03,I1,300
8,1061,32,0.5537890832008479,0.02666666666666667,I1,300
7,1103,42,0.5733969263381028,0.023333333333333334,I1,300
6,1151,48,0.5972443031266561,0.02,I1,300
5,1226,75,0.6298357180710122,0.016666666666666666,I1,300
4,1318,92,0.6740858505564388,0.013333333333333334,I1,300
3,1435,117,0.7294647588765236,0.01,I1,300
2,1555,120,0.7922628510863805,0.006666666666666667,I1,300
1,1887,332,0.9120296767355591,0.0033333333333333335,I1,300
284,284,284,0.05403348554033485,0.9466666666666667,I2,300
165,449,165,0.13945966514459665,0.55,I2,300
145,594,145,0.1984398782343988,0.48333333333333334,I2,300
138,732,138,0.2522831050228311,0.46,I2,300
105,837,105,0.2985159817351598,0.35,I2,300
97,934,97,0.3369482496194825,0.3233333333333333,I2,300
94,1028,94,0.3732876712328767,0.31333333333333335,I2,300
92,1120,92,0.408675799086758,0.30666666666666664,I2,300
78,1198,78,0.4410197869101979,0.26,I2,300
74,1272,74,0.4699391171993912,0.24666666666666667,I2,300
72,1344,72,0.4977168949771689,0.24,I2,300
70,1414,70,0.5247336377473364,0.23333333333333334,I2,300
63,1477,63,0.5500380517503806,0.21,I2,300
52,1529,52,0.571917808219178,0.17333333333333334,I2,300
49,1578,49,0.5911339421613394,0.16333333333333333,I2,300
42,1620,42,0.6084474885844748,0.14,I2,300
41,1661,41,0.6242389649923896,0.13666666666666666,I2,300
39,1700,39,0.6394596651445966,0.13,I2,300
38,1738,38,0.6541095890410958,0.12666666666666668,I2,300
37,1812,74,0.6754185692541856,0.12333333333333334,I2,300
36,1848,36,0.6963470319634704,0.12,I2,300
34,1916,68,0.7161339421613394,0.11333333333333333,I2,300
27,1970,54,0.739345509893455,0.09,I2,300
26,1996,26,0.7545662100456622,0.08666666666666667,I2,300
21,2017,21,0.7635083713850838,0.07,I2,300
17,2034,17,0.770738203957382,0.056666666666666664,I2,300
14,2076,42,0.7819634703196348,0.04666666666666667,I2,300
13,2115,39,0.7973744292237442,0.043333333333333335,I2,300
12,2151,36,0.8116438356164384,0.04,I2,300
11,2162,11,0.82058599695586,0.03666666666666667,I2,300
10,2192,30,0.828386605783866,0.03333333333333333,I2,300
9,2219,27,0.8392313546423136,0.03,I2,300
8,2251,32,0.8504566210045662,0.02666666666666667,I2,300
7,2258,7,0.8578767123287672,0.023333333333333334,I2,300
6,2306,48,0.8683409436834094,0.02,I2,300
5,2321,15,0.8803272450532724,0.016666666666666666,I2,300
4,2353,32,0.889269406392694,0.013333333333333334,I2,300
3,2392,39,0.9027777777777778,0.01,I2,300
2,2466,74,0.9242770167427702,0.006666666666666667,I2,300
1,2628,162,0.9691780821917808,0.0033333333333333335,I2,300
94,94,94,0.02312992125984252,0.31333333333333335,I3,300
55,149,55,0.05979330708661417,0.18333333333333332,I3,300
53,202,53,0.08636811023622047,0.17666666666666667,I3,300
44,246,44,0.11023622047244094,0.14666666666666667,I3,300
42,288,42,0.13139763779527558,0.14,I3,300
40,328,40,0.1515748031496063,0.13333333333333333,I3,300
39,406,78,0.18061023622047245,0.13,I3,300
27,433,27,0.20644685039370078,0.09,I3,300
25,458,25,0.21924212598425197,0.08333333333333333,I3,300
24,506,48,0.23720472440944881,0.08,I3,300
23,598,92,0.27165354330708663,0.07666666666666666,I3,300
22,620,22,0.29970472440944884,0.07333333333333333,I3,300
21,662,42,0.3154527559055118,0.07,I3,300
20,722,60,0.3405511811023622,0.06666666666666667,I3,300
19,760,38,0.3646653543307087,0.06333333333333334,I3,300
