partID,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,TypeItem
48307609,1.5969727212242182,0.5323242404080728,2,0.6666666666666666,U2
49295397,8.750618843932159,0.5469136777457599,11,0.6875,U2
49420792,5.495547242037332,0.6869434052546665,8,1,U2
49730510,11.60646619156859,0.5803233095784295,16,0.8,U2
50270483,5.1364140436847245,0.3668867174060518,8,0.5714285714285714,U2
50802090,3.6448769128409846,0.4556096141051231,5,0.625,U2
51112041,5.950440825921276,0.5950440825921276,8,0.8,U2
51142382,2.2386671904355686,0.4477334380871137,2,0.4,U2
51455126,5.204085703019688,0.5782317447799653,9,1,U2
51720442,2.9292197521361945,0.5858439504272389,4,0.8,U2
51772879,1.7828583147933734,0.44571457869834336,3,0.75,U2
52063756,3.904004751567154,0.5577149645095933,5,0.7142857142857143,U2
52071394,1.9595808383233533,0.4898952095808383,3,0.75,U2
52205728,2.4830800786388085,0.3547257255198298,2,0.2857142857142857,U2
52222534,0.026114437791084497,0.026114437791084497,0,0,U2
52328683,3.3812375249501,0.48303393213572854,5,0.7142857142857143,U2
52433601,4.321550730670082,0.7202584551116804,6,1,U2
52470878,2.6302395209580838,0.5260479041916167,4,0.8,U2
52549848,1.9308050565535595,0.6436016855178531,2,0.6666666666666666,U2
52666535,7.331680062369414,0.7331680062369414,9,0.9,U2
53012296,8.351508664119969,0.6959590553433308,10,0.8333333333333334,U2
53207172,11.213879411201678,0.5902041795369304,16,0.8421052631578947,U2
53304966,1.395542248835662,0.4651807496118873,2,0.6666666666666666,U2
53562916,5.426314038589488,0.678289254823686,7,0.875,U2
53589460,3.9219983585837728,0.435777595398197,5,0.5555555555555556,U2
53806604,2.3502308496299107,0.5875577124074777,3,0.75,U2
53900916,0.026114437791084497,0.026114437791084497,0,0,U2
54226940,1.477212242182302,0.3693030605455755,3,0.75,U2
54294384,2.094477711244178,0.6981592370813927,3,1,U2
54363276,8.268142838275176,0.636010987559629,11,0.8461538461538461,U2
54466243,3.3096205744918135,0.47280293921311617,5,0.7142857142857143,U2
54582920,3.2952879976772813,0.47075542823961164,5,0.7142857142857143,U2
54618811,14.1831103064365,0.54550424255525,20,0.7692307692307693,U2
54787750,0.026114437791084497,0.026114437791084497,0,0,U2
55164244,4.514304723885562,0.7523841206475937,6,1,U2
55192742,1.7149253262805972,0.5716417754268658,2,0.6666666666666666,U2
55277649,1.5446756014840521,0.5148918671613507,2,0.6666666666666666,U2
55409330,13.138980742563179,0.6256657496458657,16,0.7619047619047619,U2
55412878,21.63583725922857,0.6761199143508928,30,0.9375,U2
55464460,0.026114437791084497,0.026114437791084497,0,0,U2
55528870,2.1682128647857386,0.5420532161964347,3,0.75,U2
55631467,2.501281128401696,0.625320282100424,4,1,U2
55699154,4.808815130164672,0.6869735900235245,6,0.8571428571428571,U2
55779439,1.897039254823686,0.3794078509647372,2,0.4,U2
56032122,2.3362071578137917,0.4672414315627584,3,0.6,U2
56095146,15.614006511347904,0.7435241195879955,19,0.9047619047619048,U2
56213356,2.016633399866933,0.6722111332889776,2,0.6666666666666666,U2
56383965,1.4515968063872255,0.4838656021290752,2,0.6666666666666666,U2
56466227,3.086229433651889,0.7715573584129722,4,1,U2
56617316,8.65963512963554,0.6185453664025385,11,0.7857142857142857,U2
56727509,1.4308050565535595,0.7154025282767797,2,1,U2
56802740,6.539276623685787,0.6539276623685787,9,0.9,U2
56910558,6.482526563596098,0.7202807292884553,8,0.8888888888888888,U2
56999008,3.452567066791408,0.6905134133582816,5,1,U2
57272341,1.816995458920347,0.45424886473008674,2,0.5,U2
57468296,0.07052561543579508,0.07052561543579508,0,0,U2
57529182,5.597957431320613,0.6219952701467347,7,0.7777777777777778,U2
57580000,4.839981344100976,0.6914259063001394,6,0.8571428571428571,U2
58246346,1.2806054557551563,0.25612109115103127,2,0.4,U2
58613521,2.095022859743266,0.5237557149358165,2,0.5,U2
58796116,4.1628022788122525,0.5946860398303219,5,0.7142857142857143,U2
58949771,3.7181411945082723,0.9295352986270681,4,1,U2
59322703,1.4332505229459407,0.7166252614729703,2,1,U2
59521466,3.7198731737570943,0.4649841467196368,5,0.625,U2
59541131,0.6114437791084497,0.30572188955422486,1,0.5,U2
59627101,2.7372210581022314,0.39103157972889024,3,0.42857142857142855,U2
59720991,0.7032601463739188,0.3516300731869594,1,0.5,U2
59757912,2.9667332002661344,0.7416833000665336,4,1,U2
59816210,2.534930139720559,0.6337325349301397,3,0.75,U2
60121895,3.965130807576721,0.4956413509470901,5,0.625,U2
60326092,1.7528276779773786,0.43820691949434465,2,0.5,U2
60330215,5.018329129962051,0.6272911412452564,7,0.875,U2
60956106,4.502994011976048,0.7504990019960079,5,0.8333333333333334,U2
61081291,4.479540918163672,0.6399344168805247,5,0.7142857142857143,U2
61226031,8.029303559765571,0.6176387353665824,12,0.9230769230769231,U2
61294211,2.245939739873939,0.5614849349684847,3,0.75,U2
61354061,1.5172987358616101,0.5057662452872034,2,0.6666666666666666,U2
61380629,2.3004972914374786,0.4600994582874957,3,0.6,U2
61721730,3.1292990689656075,0.6258598137931215,4,0.8,U2
61994444,2.44311377245509,0.6107784431137725,3,0.75,U2
62152625,2.3376208747553435,0.3896034791258906,3,0.5,U2
62252951,8.15349063235104,0.6271915871039262,12,0.9230769230769231,U2
62270097,3.0551486024714323,0.5091914337452388,4,0.6666666666666666,U2
62473112,1.5485695276114437,0.7742847638057219,2,1,U2
62729619,8.296489627768926,0.5530993085179284,12,0.8,U2
62756306,11.953006525348261,0.6640559180749034,16,0.8888888888888888,U2
62878730,2.625378692453281,0.3281723365566601,4,0.5,U2
63004563,5.491734573222574,0.7845335104603678,6,0.8571428571428571,U2
63217023,5.871015119584978,0.5871015119584978,7,0.7,U2
63415523,5.115187792826074,0.5683541992028971,7,0.7777777777777778,U2
63446585,15.297808182188493,0.7648904091094247,19,0.95,U2
63457088,1.2664670658682635,0.25329341317365267,2,0.4,U2
63618667,6.442756958618315,0.5368964132181929,8,0.6666666666666666,U2
63627449,5.082697535611634,0.42355812796763614,7,0.5833333333333334,U2
63694961,2.5812496119411006,0.5162499223882201,3,0.6,U2
64029823,7.09608211382244,0.5913401761518701,10,0.8333333333333334,U2
64210665,1.456919494344644,0.48563983144821465,2,0.6666666666666666,U2
64242276,19.877544365695982,0.7645209371421532,24,0.9230769230769231,U2
64423195,8.493505369781483,0.5308440856113427,12,0.75,U2
64530262,1.256841493945268,0.628420746972634,2,1,U2
64743914,4.621423819028609,0.7702373031714349,6,1,U2
64795827,1.5090108119279135,0.5030036039759712,2,0.6666666666666666,U2
65000707,0.17015968063872255,0.08507984031936128,0,0,U2
65226380,5.078889480882877,0.5078889480882877,6,0.6,U2
65364556,11.490774643107889,0.718173415194243,15,0.9375,U2
65704329,4.199483010657538,0.6999138351095896,6,1,U2
65852852,0.8241849634065203,0.4120924817032601,1,0.5,U2
65906652,8.190579294316823,0.5850413781654873,13,0.9285714285714286,U2
65966759,5.880379873229549,0.4900316561024624,9,0.75,U2
66095484,5.710035951975788,0.6344484391084209,7,0.7777777777777778,U2
66839185,1.8406148867313916,0.3681229773462783,2,0.4,U2
66939059,8.486566860813234,0.6528128354471718,10,0.7692307692307693,U2
